canon_key,phrase_norm,freq,row_id
base,base,384,0
leg,legs,203,1
seat,seat,165,2
frame,frame,118,3
wheel,wheels,101,4
leather,leather,80,5
adjustable,adjustable,66,6
county seat,county seat,65,7
height,height,65,8
seating,seating,61,9
break,break,60,10
cylinder,cylinder,45,11
foam,foam,41,12
hydraulic,hydraulic,33,13
tension,tension,32,14
rock,rock,31,15
loose,loose,21,16
one leg,one leg,21,17
two wheels,two wheels,21,18
strip,strip,18,19
wire mesh,wire mesh,18,20
bucket seats,bucket seats,17,21
chair,chairs,17,22
four wheels,four wheels,17,23
mechanism,mechanism,17,24
stick,stick,17,25
collapse,collapse,16,26
recline,recline,16,27
steel wheels,steel wheels,16,28
fabric,fabric,15,29
jam,jam,15,30
their legs,their legs,15,31
base units,base units,14,32
lever,lever,14,33
local base,local base,14,34
long legs,long legs,14,35
bent,bent,13,36
broken,broken,13,37
two seats,two seats,13,38
benche,benches,12,39
ejection seats,ejection seats,12,40
front wheel drive,front wheel drive,12,41
mesh,mesh,12,42
octagonal base,octagonal base,12,43
piston engines,piston engines,12,44
rear seats,rear seats,12,45
stool,stools,12,46
wooden frame,wooden frame,12,47
adjust,adjust,11,48
four legs,four legs,11,49
leather seats,leather seats,11,50
lie bracket,lie bracket,11,51
lumbar,lumbar,11,52
seat belts,seat belts,11,53
true legs,true legs,11,54
two legs,two legs,11,55
2+2 abreast seating,2+2 abreast seating,10,56
cushion,cushions,10,57
hind legs,hind legs,10,58
lean,lean,10,59
new seat,new seat,10,60
same base,same base,10,61
strong base,strong base,10,62
wooden frames,wooden frames,10,63
2-2-2 configuration and seat-back screens,2-2-2 configuration and seat-back screens,9,64
20 seats,20 seats,9,65
29 inch,29 inch,9,66
32 seats,32 seats,9,67
700c wheels,700c wheels,9,68
base point,base point,9,69
bicycle frames,bicycle frames,9,70
coach seating,coach seating,9,71
collapsible frame,collapsible frame,9,72
native rock,native rock,9,73
primary base,primary base,9,74
rectangle-like seats,rectangle-like seats,9,75
same bead seat diameter,same bead seat diameter,9,76
any base,any base,8,77
cairo west air base,cairo west air base,8,78
each seat,each seat,8,79
each wheel,each wheel,8,80
four rear wheels,four rear wheels,8,81
four-wheel drive,four-wheel drive,8,82
knob,knob,8,83
leather straps,leather straps,8,84
passenger seats,passenger seats,8,85
rear seat,rear seat,8,86
rear seat airbags,rear seat airbags,8,87
rock formations,rock formations,8,88
same base vertices,same base vertices,8,89
seating capacity,seating capacity,8,90
steel frame,steel frame,8,91
tilt,tilt,8,92
tilting,tilting,8,93
too small,too small,8,94
2 seats,2 seats,7,95
2+2 seating,2+2 seating,7,96
20 mm,20 mm,7,97
360 degrees,360 degrees,7,98
about 100 million base pairs,about 100 million base pairs,7,99
adjustable larger-than-normal seats,adjustable larger-than-normal seats,7,100
base station,base station,7,101
base stations,base stations,7,102
base unit,base unit,7,103
frame rate,frame rate,7,104
frame s,frame s,7,105
front wheels,front wheels,7,106
high density foam,high density foam,7,107
hinge,hinge,7,108
his base,his base,7,109
large legs,large legs,7,110
large seat,large seat,7,111
longer legs,longer legs,7,112
new seats,new seats,7,113
one cylinder head,one cylinder head,7,114
pain,pain,7,115
seven corresponding base units,seven corresponding base units,7,116
seven seats,seven seats,7,117
short legs,short legs,7,118
square base,square base,7,119
swivel mountings,swivel mountings,7,120
synthetic fabric,synthetic fabric,7,121
their seats,their seats,7,122
three reaction wheels,three reaction wheels,7,123
unstable,unstable,7,124
1000 base pairs,1000 base pairs,6,125
15 higher seating capaci,15 higher seating capaci,6,126
17-inch alloy wheels,17-inch alloy wheels,6,127
180 degrees,180 degrees,6,128
3-4-3 economy class seats,3-4-3 economy class seats,6,129
36-seat training lab,36-seat training lab,6,130
44 premium economy class seats,44 premium economy class seats,6,131
78 business class seats,78 business class seats,6,132
90 degrees,90 degrees,6,133
about 0.6 mm,about 0.6 mm,6,134
articulated frame grip,articulated frame grip,6,135
bend,bend,6,136
black legs,black legs,6,137
both wheel brakes,both wheel brakes,6,138
bracket pairs,bracket pairs,6,139
drive wheels,drive wheels,6,140
each cylinder,each cylinder,6,141
each frame,each frame,6,142
frame ch,frame ch,6,143
frame relay,frame relay,6,144
heated front seats,heated front seats,6,145
inertial frame,inertial frame,6,146
ip-dect base stations,ip-dect base stations,6,147
less than 30 mesh,less than 30 mesh,6,148
rear wheel,rear wheel,6,149
record wheel rotations,record wheel rotations,6,150
rock climbing wall,rock climbing wall,6,151
rock islands,rock islands,6,152
seat belt reminders,seat belt reminders,6,153
seat pitch,seat pitch,6,154
seating configuration,seating configuration,6,155
small wheels,small wheels,6,156
steering wheels,steering wheels,6,157
structural frame,structural frame,6,158
swivel mounts,swivel mounts,6,159
three cylinder banks,three cylinder banks,6,160
thumb 250px a .177 4.5mm caliber wadcutter pellet,thumb 250px a .177 4.5mm caliber wadcutter pellet,6,161
tilting technology,tilting technology,6,162
tilting trains,tilting trains,6,163
tough fabric,tough fabric,6,164
trapezoid base,trapezoid base,6,165
two internal defa 30mm cannons,two internal defa 30mm cannons,6,166
warp,warp,6,167
wheel circumference,wheel circumference,6,168
willow frames,willow frames,6,169
wood-frame poles,wood-frame poles,6,170
y-shaped frame,y-shaped frame,6,171
12.7 mm,12.7 mm,5,172
14 kg,14 kg,5,173
140 kg,140 kg,5,174
26 seats,26 seats,5,175
3+2 abreast unidirectional seating,3+2 abreast unidirectional seating,5,176
42 kg,42 kg,5,177
44-seat hs-748 turboprop,44-seat hs-748 turboprop,5,178
84 kg,84 kg,5,179
abdominal legs,abdominal legs,5,180
antikythera mechanism,antikythera mechanism,5,181
base idea,base idea,5,182
base metals,base metals,5,183
base points,base points,5,184
colorful padding,colorful padding,5,185
concave seat,concave seat,5,186
crossed folding legs,crossed folding legs,5,187
crosswise seats,crosswise seats,5,188
extruded polystyrene foam,extruded polystyrene foam,5,189
fabric wing surfaces,fabric wing surfaces,5,190
four 4-seat compartments,four 4-seat compartments,5,191
four wheel independent suspension,four wheel independent suspension,5,192
his seat,his seat,5,193
ios code base,ios code base,5,194
ip base,ip base,5,195
leg bones,leg bones,5,196
main frame,main frame,5,197
many seats,many seats,5,198
much more ornate folding stool,much more ornate folding stool,5,199
multiple legs,multiple legs,5,200
new cast-alloy looking ventilated wheels,new cast-alloy looking ventilated wheels,5,201
one wheel,one wheel,5,202
poach seats,poach seats,5,203
reaction wheels,reaction wheels,5,204
rear bench seat,rear bench seat,5,205
rear-wheel drive,rear-wheel drive,5,206
red legs,red legs,5,207
road wheels,road wheels,5,208
rock properties,rock properties,5,209
rounded cushion openings,rounded cushion openings,5,210
seating arrangements,seating arrangements,5,211
separate seats,separate seats,5,212
shorter legs,shorter legs,5,213
sink,sink,5,214
six road wheels,six road wheels,5,215
snap,snap,5,216
stalemate break,stalemate break,5,217
stockinette fabric,stockinette fabric,5,218
stone seats,stone seats,5,219
strong externally rubberised fabric,strong externally rubberised fabric,5,220
three wheels,three wheels,5,221
tidal rock pool,tidal rock pool,5,222
tilt 45,tilt 45,5,223
tilting equipment,tilting equipment,5,224
timber frame,timber frame,5,225
tube-style linear seating,tube-style linear seating,5,226
twin wheels,twin wheels,5,227
two bucket seats,two bucket seats,5,228
two equally long legs,two equally long legs,5,229
wheelbase,wheelbase,5,230
wire-spoke wheels,wire-spoke wheels,5,231
wood frame construction,wood frame construction,5,232
workman s stool,workman s stool,5,233
10 mirage 2000bg two-seat trainers,10 mirage 2000bg two-seat trainers,4,234
10-way adjustable power leather seats,10-way adjustable power leather seats,4,235
100 series style seats,100 series style seats,4,236
15 30 cm,15 30 cm,4,237
168 seats,168 seats,4,238
17 inch alloy wheels,17 inch alloy wheels,4,239
190 seats,190 seats,4,240
200 seats,200 seats,4,241
210 seats,210 seats,4,242
22-inch wheels,22-inch wheels,4,243
244 seats,244 seats,4,244
30 single-seat mirage,30 single-seat mirage,4,245
30 x 30 cm,30 x 30 cm,4,246
32 removable seats,32 removable seats,4,247
7.5 cm,7.5 cm,4,248
76 seats,76 seats,4,249
777 wheels,777 wheels,4,250
about 300 warp threads,about 300 warp threads,4,251
adjustable spring-loaded automatic exhaust valves,adjustable spring-loaded automatic exhaust valves,4,252
adjustable winged headrests,adjustable winged headrests,4,253
aerodynamic wheels,aerodynamic wheels,4,254
all seating positions,all seating positions,4,255
all seats,all seats,4,256
all three legs,all three legs,4,257
all-wheel drive,all-wheel drive,4,258
alloy frames,alloy frames,4,259
andersen air force base,andersen air force base,4,260
any base taxes,any base taxes,4,261
approximately 50 base pairs,approximately 50 base pairs,4,262
approximately 50 cm,approximately 50 cm,4,263
artillery break,artillery break,4,264
audio frame sizes,audio frame sizes,4,265
base and nucleotide excision repair,base and nucleotide excision repair,4,266
base color,base color,4,267
base edge length,base edge length,4,268
base edge lengths,base edge lengths,4,269
base facilities,base facilities,4,270
base pairs,base pairs,4,271
base set,base set,4,272
base settlements,base settlements,4,273
base-pairing,base-pairing,4,274
base-rich soils,base-rich soils,4,275
borough seat,borough seat,4,276
both silver and base metal pennies,both silver and base metal pennies,4,277
both the conjugate base ion,both the conjugate base ion,4,278
broken shield,broken shield,4,279
cellular base station antennas,cellular base station antennas,4,280
circular base,circular base,4,281
cloth seats,cloth seats,4,282
conventional wheels,conventional wheels,4,283
cylinder performance,cylinder performance,4,284
delicate fabric,delicate fabric,4,285
detachable cylinder head,detachable cylinder head,4,286
driving wheels,driving wheels,4,287
dual rear wheels,dual rear wheels,4,288
eight road wheels,eight road wheels,4,289
either leather,either leather,4,290
ejection seat,ejection seat,4,291
equal-size wheels,equal-size wheels,4,292
excessive exhaust valve seat wear,excessive exhaust valve seat wear,4,293
external frame,external frame,4,294
fewer seats,fewer seats,4,295
fiberglass mesh,fiberglass mesh,4,296
four reaction wheels,four reaction wheels,4,297
four wheel drive,four wheel drive,4,298
frame synchronization features,frame synchronization features,4,299
front seats,front seats,4,300
front wheel,front wheel,4,301
full-time four-wheel drive,full-time four-wheel drive,4,302
height-finding apparatus,height-finding apparatus,4,303
higher jump height,higher jump height,4,304
his legs,his legs,4,305
historic seat,historic seat,4,306
hydraulic arms,hydraulic arms,4,307
hydraulic connections,hydraulic connections,4,308
inertial frames,inertial frames,4,309
iron frame,iron frame,4,310
isotoxal -gon base vertices,isotoxal -gon base vertices,4,311
knob base,knob base,4,312
knowledge-base representing facts,knowledge-base representing facts,4,313
land base reservation,land base reservation,4,314
landing legs,landing legs,4,315
large narrow undershot water wheel,large narrow undershot water wheel,4,316
large wheels,large wheels,4,317
larger wheels,larger wheels,4,318
leg muscles,leg muscles,4,319
leg spin,leg spin,4,320
leg-opening,leg-openings,4,321
lengthy time frames,lengthy time frames,4,322
lighter wheels,lighter wheels,4,323
little rock air force base,little rock air force base,4,324
long base,long base,4,325
long or short legs,long or short legs,4,326
lumbar support,lumbar support,4,327
luxury seats,luxury seats,4,328
mobile base stations,mobile base stations,4,329
nearly 180 degrees,nearly 180 degrees,4,330
nine road wheels,nine road wheels,4,331
non-flammable highly melt-resistant fabric,non-flammable highly melt-resistant fabric,4,332
non-reclining highback seats,non-reclining highback seats,4,333
not base,not base,4,334
oak base,oak base,4,335
one tdm frame,one tdm frame,4,336
only front seats,only front seats,4,337
only two seats,only two seats,4,338
opposed four cylinder engines,opposed four cylinder engines,4,339
other leg,other leg,4,340
over 1 250 000 kg,over 1 250 000 kg,4,341
