canon_key,phrase_norm,freq,row_id
common,common,771,0
modern,modern,592,1
early,early,591,2
similar,similar,570,3
more,more,541,4
multiple,multiple,404,5
available,available,383,6
specific,specific,383,7
standard,standard,354,8
non,non,350,9
wide,wide,343,10
white,white,338,11
natural,natural,332,12
traditional,traditional,315,13
important,important,298,14
major,major,298,15
additional,additional,290,16
write,write,281,17
like,like,273,18
local,local,272,19
great,great,265,20
basic,basic,259,21
special,special,245,22
full,full,237,23
unique,unique,234,24
central,central,233,25
simple,simple,229,26
red,red,226,27
key,key,224,28
light,light,223,29
black,black,220,30
human,human,214,31
open,open,213,32
original,original,210,33
typical,typical,210,34
primary,primary,209,35
advanced,advanced,206,36
second,second,205,37
current,current,204,38
dry,dry,204,39
popular,popular,204,40
particular,particular,203,41
separate,separate,202,42
general,general,198,43
possible,possible,197,44
late,late,196,45
public,public,195,46
free,free,191,47
easy,easy,189,48
external,external,189,49
significant,significant,186,50
upper,upper,182,51
heavy,heavy,181,52
thin,thin,181,53
own,own,179,54
numerous,numerous,176,55
hard,hard,170,56
other features,other features,169,57
physical,physical,168,58
social,social,168,59
less,less,167,60
regular,regular,167,61
ancient,ancient,166,62
wear,wear,165,63
electric,electric,164,64
structural,structural,163,65
distinctive,distinctive,156,66
solid,solid,156,67
real,real,155,68
digital,digital,153,69
notable,notable,151,70
internal,internal,148,71
complex,complex,147,72
new features,new features,147,73
present,present,147,74
rear,rear,147,75
front,front,146,76
normal,normal,146,77
parallel,parallel,146,78
individual,individual,144,79
third,third,143,80
flat,flat,141,81
synthetic,synthetic,141,82
western,western,141,83
capable,capable,139,84
hot,hot,139,85
commercial,commercial,138,86
prominent,prominent,138,87
american,american,137,88
regional,regional,137,89
outer,outer,136,90
characteristic,characteristic,135,91
dual,dual,135,92
little,little,135,93
much,much,134,94
lead,lead,131,95
only,only,130,96
thick,thick,130,97
wooden,wooden,129,98
able,able,127,99
double,double,127,100
limited,limited,126,101
narrow,narrow,126,102
positive,positive,126,103
deep,deep,125,104
extra,extra,124,105
anti,anti,123,106
southern,southern,123,107
direct,direct,122,108
soft,soft,122,109
independent,independent,121,110
negative,negative,121,111
active,active,120,112
essential,essential,120,113
continuous,continuous,119,114
blue,blue,115,115
military,military,115,116
religious,religious,115,117
stainless,stainless,115,118
entire,entire,112,119
automatic,automatic,111,120
close,close,110,121
dark,dark,110,122
rich,rich,108,123
unusual,unusual,108,124
useful,useful,108,125
broad,broad,107,126
distinct,distinct,107,127
complete,complete,105,128
mechanical,mechanical,104,129
horizontal,horizontal,103,130
maximum,maximum,103,131
clinical,clinical,102,132
initial,initial,102,133
top,top,102,134
vertical,vertical,102,135
european,european,101,136
inner,inner,101,137
roman,roman,101,138
optional,optional,100,139
final,final,99,140
later,later,99,141
recent,recent,99,142
well,well,99,143
multi,multi,98,144
electrical,electrical,97,145
functional,functional,97,146
chinese,chinese,96,147
conventional,conventional,96,148
total,total,96,149
economic,economic,95,150
extensive,extensive,95,151
visible,visible,95,152
