canon_key,phrase_norm,freq,row_id
standard,standard,626,0
early,early,616,1
similar,similar,590,2
more,more,579,3
available,available,566,4
modern,modern,537,5
additional,additional,482,6
common,common,481,7
original,original,475,8
light,light,468,9
multiple,multiple,464,10
current,current,428,11
special,special,403,12
local,local,394,13
full,full,363,14
wide,wide,353,15
electric,electric,349,16
heavy,heavy,342,17
digital,digital,312,18
front,front,309,19
rear,rear,306,20
non,non,305,21
major,major,304,22
open,open,285,23
late,late,284,24
electrical,electrical,270,25
unique,unique,269,26
possible,possible,267,27
specific,specific,265,28
internal,internal,263,29
dual,dual,260,30
double,double,259,31
traditional,traditional,259,32
second,second,248,33
central,central,243,34
public,public,242,35
simple,simple,233,36
direct,direct,231,37
automatic,automatic,230,38
important,important,228,39
black,black,223,40
mechanical,mechanical,222,41
third,third,222,42
multi,multi,217,43
hard,hard,215,44
electronic,electronic,213,45
free,free,213,46
advanced,advanced,212,47
independent,independent,211,48
general,general,210,49
great,great,210,50
popular,popular,209,51
key,key,207,52
separate,separate,207,53
typical,typical,206,54
natural,natural,205,55
top,top,204,56
real,real,196,57
less,less,195,58
primary,primary,192,59
compatible,compatible,191,60
maximum,maximum,191,61
own,own,189,62
external,external,188,63
flat,flat,188,64
like,like,188,65
mobile,mobile,187,66
able,able,186,67
white,white,185,68
previous,previous,183,69
regular,regular,183,70
commercial,commercial,182,71
easy,easy,182,72
stainless,stainless,182,73
conventional,conventional,180,74
regional,regional,180,75
basic,basic,179,76
capable,capable,175,77
physical,physical,175,78
upper,upper,174,79
optical,optical,173,80
red,red,173,81
parallel,parallel,169,82
solid,solid,169,83
only,only,168,84
anti,anti,165,85
magnetic,magnetic,165,86
notable,notable,162,87
thin,thin,161,88
active,active,158,89
optional,optional,156,90
variable,variable,154,91
wooden,wooden,151,92
former,former,148,93
narrow,narrow,148,94
new features,new features,146,95
complex,complex,145,96
limited,limited,145,97
extra,extra,144,98
vertical,vertical,144,99
american,american,143,100
individual,individual,142,101
industrial,industrial,142,102
northern,northern,142,103
concrete,concrete,141,104
fast,fast,141,105
other features,other features,141,106
locomotive,locomotive,140,107
live,live,139,108
numerous,numerous,138,109
underground,underground,138,110
accessible,accessible,136,111
national,national,136,112
significant,significant,136,113
normal,normal,135,114
overhead,overhead,135,115
particular,particular,134,116
military,military,131,117
hot,hot,129,118
much,much,129,119
thick,thick,129,120
extensive,extensive,127,121
outer,outer,126,122
remote,remote,124,123
audio,audio,123,124
entire,entire,122,125
personal,personal,122,126
not designed,not designed,121,127
technical,technical,121,128
next,next,119,129
secondary,secondary,118,130
blue,blue,117,131
horizontal,horizontal,117,132
present,present,117,133
western,western,117,134
pre,pre,116,135
complete,complete,115,136
dedicated,dedicated,115,137
soft,soft,115,138
thermal,thermal,115,139
twin,twin,115,140
improved,improved,114,141
portable,portable,114,142
unusual,unusual,114,143
stainless steel,stainless steel,112,144
southern,southern,109,145
circular,circular,108,146
international,international,108,147
later,later,108,148
suitable,suitable,108,149
british,british,107,150
tall,tall,107,151
german,german,106,152
japanese,japanese,105,153
private,private,104,154
european,european,103,155
rapid,rapid,102,156
structural,structural,102,157
useful,useful,102,158
close,close,100,159
