object,freq
cable,68
wire,33
connector,15
core,4
port,3
foam,3
glue,2
clamp,2
converter,1
tape,1
connectors,47
cables,36
fan,20
sata,16
wires,10
coil,10
coil springs,34
atx,5
shielding,2
pcie,2
inductor,1
cable-haulage,1
national rail services,11
two wires,8
bnc connectors,7
rail service,7
coaxial cable,6
fine wire,6
rail lines,6
power supply,5
one cable,5
one coil,5
overhead wires,5
time warner cable,5
cable cars,5
rail traffic,5
rail services,4
female connectors,4
litz wire,4
modular connectors,4
light rail vehicles,4
coaxial cables,4
its fan,4
rca connectors,4
sata drives,4
coil taps,4
third rail shoes,4
cable length,4
each coil,4
rail transport,4
rail cars,3
cable wireless,3
male connectors,3
heavy rail trains,3
spanish rail operator renfe,3
cable lengths,3
other cable,3
sata interface,3
single-coil pickups,3
one connector,3
rail operators,3
long cables,3
atx power supplies,3
light rail service,3
two single coil pickups,3
rail canada,3
other rail services,3
insulated wire,3
fan kuai,3
cable-stayed bridges,2
multiple wires,2
corrugated cardboard extruded polystyrene foam,2
special dual-purpose connectors,2
parallel wires,2
fiber-optic cable,2
rail links,2
shorter 32-bit connectors,2
its cable,2
sata devices,2
rail accounting,2
st connectors,2
armored cable,2
optical fiber cables,2
amiga-specific connectors,2
hdmi port,2
ordinary bnc connectors,2
round wires,2
gg45 or tera connectors,2
solid core cable,2
coil spring,2
cable services,2
guillemin connectors,2
video cable,2
sata 6 gbit s,2
each cable,2
wire mesh,2
other underground and british rail lines,2
filter capacitors,2
trs connectors,2
conventional serial port technology,2
helicopter pad,2
rail network,2
overhead catenary wires,2
cable providers,2
proprietary connectors,2
25 kv ac,2
cable ties,2
thermal barrier coatings,2
atx12v connector,2
cable service,2
each inductor,2
rail west,2
vga connectors,2
cable companies,2
regular removable rca cables,2
rail yard speno,2
increased rail passenger services,2
chinese fan palm,2
rail travel,2
cable gutter,2
either two- or three-pin connectors,2
its cables,2
117 connector,2
toyota ttc-c catalytic converter,2
cable-laying gear,2
unbalanced cable,2
coil radius,2
transformer oil,2
dc traction motors,2
ac traction motors,2
usb ports,2
two cables,2
three cable tanks,2
cable haulage,2
