canon_key,phrase_norm,freq,row_id
frame,frame,145,0
handle,handle,111,1
tip,tip,72,2
break,break,59,3
shaft,shaft,55,4
rib,ribs,40,5
waterproof,waterproof,40,6
wind,wind,37,7
compact,compact,35,8
canopy,canopy,32,9
grip,grip,32,10
bent,bent,31,11
stick,stick,23,12
one propeller shaft,one propeller shaft,21,13
either the tip,either the tip,20,14
button,button,18,15
spoke,spokes,18,16
105 mm,105 mm,14,17
jam,jam,14,18
pistol grip,pistol grip,14,19
runner,runner,13,20
strap-on boosters,strap-on boosters,12,21
collapse,collapse,11,22
strap,strap,11,23
warp,warp,11,24
one shaft,one shaft,10,25
pointed tip,pointed tip,10,26
stretcher,stretcher,10,27
29 inch,29 inch,9,28
each tip,each tip,9,29
exposed lead tip,exposed lead tip,9,30
new canopy,new canopy,9,31
rain,rain,9,32
removable carrying handle,removable carrying handle,9,33
30 mm autocannon,30 mm autocannon,8,34
flip-flop,flip-flops,8,35
leak,leak,8,36
rust,rust,8,37
southern tip,southern tip,8,38
tear,tear,8,39
tip tanks,tip tanks,8,40
20 mm,20 mm,7,41
bend,bend,7,42
carrying handle,carrying handle,7,43
frame rate,frame rate,7,44
frame s,frame s,7,45
long shaft,long shaft,7,46
metal frame,metal frame,7,47
output shaft,output shaft,7,48
solar wind,solar wind,7,49
tear gas,tear gas,7,50
temporary frame,temporary frame,7,51
their frame,their frame,7,52
western tip,western tip,7,53
wooden frame,wooden frame,7,54
12 cycle stretchers,12 cycle stretchers,6,55
25 mm,25 mm,6,56
30 x 30 cm,30 x 30 cm,6,57
any inertial frame,any inertial frame,6,58
articulated frame grip,articulated frame grip,6,59
broken bay,broken bay,6,60
bubble canopy,bubble canopy,6,61
button gwinnett,button gwinnett,6,62
climbing frame,climbing frame,6,63
collapsible frame,collapsible frame,6,64
each rib,each rib,6,65
eastern tip,eastern tip,6,66
folding,folding,6,67
folding kayak,folding kayak,6,68
hollow grip,hollow grip,6,69
inertial frame,inertial frame,6,70
